|||Columns|
Rows|||Turkey|
||||
||||
||2011|35010.0|
||2012|26815.0|
||2013|7294.0|
||2014|9013.0|
||2015|3060.0|
||2016|687.0|
||2017|1393.0|
||2018|493.0|
||2019|495.0|
||2020|248.0|
||2021|674.0|
|Production Quantity and 01.13.59.00.01. (Yer Elması) - Tonne|2004|60.0|
||2005|67.0|
||2006|241.0|
||2007|66.0|
||2008|140.0|
||2009|898.0|
||2010|873.0|
||2011|883.0|
||2012|871.0|
||2013|836.0|
||2014|805.0|
||2015|786.0|
||2016|636.0|
||2017|1031.0|
||2018|1029.0|
||2019|1029.0|
||2020|1144.0|
||2021|1322.0|
|Production Quantity and 01.13.59.00.02. (Salep) - Tonne|2021|82.0|
|Production Quantity and 01.13.71.00.00. (Şeker Pancarı) - Tonne|2004|1.3517241E7|
||2005|1.5181247E7|
||2006|1.4452162E7|
||2007|1.2414715E7|
||2008|1.5488332E7|
||2009|1.7274674E7|
||2010|1.7942112E7|
||2011|1.6126489E7|
||2012|1.491994E7|
||2013|1.648859E7|
||2014|1.6743045E7|
||2015|1.6022783E7|
||2016|1.9592731E7|
||2017|2.114902E7|
||2018|1.74361E7|
||2019|1.805432E7|
||2020|2.3025738E7|
||2021|1.7767085E7|
|Production Quantity and 01.13.72.00.00. (Şeker Pancarı Tohumları) - Tonne|2012|1598.0|
||2013|1632.0|
||2014|1394.0|
||2015|2106.0|
||2016|1844.0|
||2017|1720.0|
||2018|2820.0|
||2019|2135.0|
||2020|2317.0|
||2021|1505.0|
|Production Quantity and 01.14.10.00.00. (Şeker Kamışı) - Tonne|2014|160.0|
||2015|160.0|
||2016|160.0|
||2017|160.0|
||2018|167.0|
||2019|206.0|
||2020|230.0|
||2021|247.0|
|Production Quantity and 01.15.10.00.00. (Tütün, İşlenmemiş) - Tonne|2004|133913.0|
||2005|135247.0|
||2006|98137.0|
||2007|74584.0|
||2008|93403.0|
||2009|81053.0|
||2010|53018.0|
||2011|45435.0|
||2012|73285.0|
||2013|93158.0|
||2014|74696.0|
||2015|67990.0|
||2016|74238.0|
||2017|93666.0|
||2018|75276.0|
||2019|68224.0|
||2020|79081.0|
||2021|71497.0|
|Production Quantity and 01.16.11.00.01. (Pamuk, Çırçırlanmamış (Kütlü)) - Tonne|2004|2455071.0|
||2005|2240000.0|
||2006|2550000.0|
||2007|2275000.0|
||2008|1820000.0|
||2009|1725000.0|
||2010|2150000.0|
||2011|2580000.0|
||2012|2320000.0|
||2013|2250000.0|
||2014|2350000.0|
||2015|2050000.0|
||2016|2100000.0|
||2017|2450000.0|
||2018|2570000.0|
||2019|2200000.0|
||2020|1773646.0|
||2021|2250000.0|
|Production Quantity and 01.16.11.00.02. (Pamuk, Çırçırlanmış (Lifli)) - Tonne|2004|935928.0|
||2005|863700.0|
||2006|976540.0|
||2007|867716.0|
||2008|673400.0|
||2009|638250.0|
||2010|816705.0|
||2011|954600.0|
||2012|858400.0|
||2013|877500.0|
||2014|846000.0|
||2015|738000.0|
||2016|756000.0|
||2017|882000.0|
||2018|976600.0|
||2019|814000.0|
||2020|656251.0|
||2021|832500.0|
|Production Quantity and 01.16.19.00.01. (Keten, Lif) - Tonne|2004|55.0|
||2005|6.0|
||2006|8.0|
||2007|6.0|
||2008|1.0|
||2009|1.0|
||2010|3.0|
||2011|4.0|
||2015|1.0|
||2016|1.0|
||2017|2.0|
||2018|3.0|
||2019|2.0|
||2020|4.0|
||2021|6.0|
|Production Quantity and 01.16.19.00.02. (Kenevir, Lif) - Tonne|2004|600.0|
||2005|55.0|
||2006|60.0|
||2007|38.0|
||2008|21.0|
||2009|4.0|
||2010|10.0|
||2011|16.0|
||2012|6.0|
||2013|1.0|
||2014|1.0|
||2015|1.0|
||2016|7.0|
||2017|7.0|
||2018|7.0|
||2019|19.0|
||2020|9.0|
||2021|21.0|
|Production Quantity and 01.19.10.10. (Fiğ (Yeşilot)) - Tonne|2004|540000.0|
||2005|750000.0|
||2006|1026324.0|
||2007|1282441.0|
||2008|1249948.0|
||2009|1028610.0|
||2010|4018984.0|
||2011|4442017.0|
||2012|4245417.0|
||2013|4492466.0|
|Production Quantity and 01.19.10.10.01. (Fiğ (Adi) (Yeşil Ot)) - Tonne|2014|2682995.0|
||2015|2721246.0|
||2016|2800049.0|
||2017|2710571.0|
||2018|2537281.0|
||2019|2565790.0|
||2020|2787193.0|
||2021|2471203.0|
|Production Quantity and 01.19.10.10.02. (Fiğ (Macar) (Yeşil Ot)) - Tonne|2014|878009.0|
||2015|935969.0|
||2016|1028563.0|
||2017|1105095.0|
||2018|1049606.0|
||2019|1028137.0|
||2020|1103709.0|
||2021|1097255.0|
|Production Quantity and 01.19.10.10.03. (Fiğ (Diğer) (Yeşil Ot)) - Tonne|2014|607081.0|
||2015|624044.0|
||2016|713430.0|
||2017|781934.0|
||2018|687058.0|
||2019|709941.0|
||2020|652063.0|
||2021|421476.0|
|Production Quantity and 01.19.10.11.00. (Burçak (Yeşilot)) - Tonne|2004|3600.0|
||2005|3000.0|
||2006|6610.0|
||2007|87683.0|
||2008|42596.0|
||2009|87106.0|
||2010|80005.0|
||2011|51092.0|
||2012|42894.0|
||2013|54566.0|
||2014|30455.0|
||2015|24849.0|
||2016|20363.0|
||2017|17327.0|
||2018|16507.0|
||2019|14855.0|
||2020|14562.0|
||2021|13401.0|
|Production Quantity and 01.19.10.12.00. (Yonca (Yeşilot)) - Tonne|2004|2300000.0|
||2005|2100000.0|
||2006|1814990.0|
||2007|1697645.0|
||2008|1843961.0|
||2009|1747676.0|
||2010|1.1676115E7|
||2011|1.2076159E7|
||2012|1.1536328E7|
||2013|1.2616178E7|
||2014|1.3432968E7|
||2015|1.3949958E7|
||2016|1.5714381E7|
||2017|1.756119E7|
||2018|1.7544946E7|
||2019|1.7949264E7|
||2020|1.9290519E7|
||2021|1.9310959E7|
|Production Quantity and 01.19.10.13.00. (Korunga (Yeşilot)) - Tonne|2004|270000.0|
||2005|250000.0|
||2006|124843.0|
||2007|191991.0|
||2008|143367.0|
||2009|158029.0|
||2010|1508930.0|
||2011|1571606.0|
||2012|1459570.0|
||2013|1630572.0|
||2014|1646256.0|
||2015|1655985.0|
||2016|1982047.0|
||2017|2001379.0|
||2018|1934847.0|
||2019|1781789.0|
||2020|1934697.0|
||2021|1546641.0|
|Production Quantity and 01.19.10.14.00. (Üçgül (Yeşilot)) - Tonne|2004|1.0|
||2005|16.0|
||2006|5.0|
||2007|0.0|
||2008|3610.0|
||2009|3560.0|
||2010|2556.0|
||2011|3160.0|
||2012|3018.0|
||2013|2528.0|
||2014|2478.0|
||2015|2378.0|
||2016|2378.0|
||2017|2280.0|
||2018|46.0|
||2019|67.0|
||2020|96.0|
||2021|119.0|
|Production Quantity and 01.19.10.15.00. (Yulaf (Yeşilot)) - Tonne|2012|934157.0|
||2013|1088168.0|
||2014|1156553.0|
||2015|1180294.0|
||2016|1549846.0|
||2017|1755323.0|
||2018|2843686.0|
||2019|3155797.0|
||2020|3850475.0|
||2021|3752850.0|
|Production Quantity and 01.19.10.16.00. (Sorgum (Yeşilot)) - Tonne|2012|51376.0|
||2013|59358.0|
||2014|59033.0|
||2015|59019.0|
||2016|60371.0|
||2017|65523.0|
||2018|66808.0|
||2019|80938.0|
||2020|87920.0|
||2021|113179.0|
|Production Quantity and 01.19.10.17.00. (Triticale (Yeşilot)) - Tonne|2012|54759.0|
||2013|67801.0|
||2014|84310.0|
||2015|90529.0|
||2016|119461.0|
||2017|150823.0|
||2018|190730.0|
||2019|274136.0|
||2020|558643.0|
||2021|673112.0|
|Production Quantity and 01.19.10.18.00. (Mürdümük (Yeşilot)) - Tonne|2012|169419.0|
||2013|158671.0|
||2014|146812.0|
||2015|138554.0|
||2016|116703.0|
||2017|103029.0|
||2018|98238.0|
||2019|78912.0|
||2020|82026.0|
||2021|63074.0|
|Production Quantity and 01.19.10.19.00. (Mısır (Hasıl)) - Tonne|2004|600000.0|
||2005|460000.0|
||2006|432868.0|
||2007|302550.0|
||2008|322414.0|
||2009|243268.0|
||2010|207899.0|
||2011|238973.0|
||2012|302014.0|
||2013|259335.0|
||2014|251645.0|
||2015|235405.0|
||2016|230645.0|
||2017|220884.0|
||2018|215443.0|
||2019|152417.0|
||2020|126142.0|
||2021|128704.0|
|Production Quantity and 01.19.10.20.00. (Mısır (Slaj)) - Tonne|2004|6200000.0|
||2005|7600000.0|
||2006|1.0069968E7|
||2007|1.0259595E7|
||2008|1.118329E7|
||2009|1.1099653E7|
||2010|1.244645E7|
||2011|1.329438E7|
||2012|1.4956457E7|
||2013|1.7835115E7|
||2014|1.856339E7|
||2015|1.9684599E7|
||2016|2.0139033E7|
||2017|2.1613101E7|
||2018|2.3197536E7|
||2019|2.549987E7|
||2020|2.7186949E7|
||2021|2.7309962E7|
|Production Quantity and 01.19.10.22.00. (Hayvan Pancarı) - Tonne|2004|160000.0|
||2005|165000.0|
||2006|158771.0|
||2007|151611.0|
||2008|157541.0|
||2009|145628.0|
||2010|132970.0|
||2011|127114.0|
||2012|125610.0|
||2013|131289.0|
||2014|127300.0|
||2015|114165.0|
||2016|111974.0|
||2017|98537.0|
||2018|92069.0|
||2019|88446.0|
||2020|83763.0|
||2021|67060.0|
|Production Quantity and 01.19.10.23.00. (Yem Şalgamı) - Tonne|2012|332042.0|
||2013|345125.0|
||2014|319970.0|
||2015|329970.0|
||2016|355667.0|
||2017|370729.0|
||2018|298373.0|
||2019|298959.0|
||2020|237491.0|
||2021|217567.0|
|Production Quantity and 01.19.10.24.00. (Buğday (Hasıl/Yeşilot)) - Tonne|2012|184730.0|
||2013|136681.0|
||2014|111867.0|
||2015|92610.0|
||2016|310882.0|
||2017|375585.0|
||2018|348160.0|
||2019|399687.0|
||2020|348838.0|
||2021|286270.0|
|Production Quantity and 01.19.10.26.00. (Bakla, Kuru (Yemlik)) - Tonne|2004|10000.0|
||2005|6000.0|
||2006|10419.0|
||2007|10037.0|
||2008|9944.0|
||2009|9343.0|
||2010|11028.0|
||2011|11715.0|
||2012|10538.0|
||2013|10008.0|
||2014|7956.0|
||2015|7596.0|
||2016|8209.0|
||2017|7899.0|
||2018|7295.0|
||2019|6862.0|
||2020|4133.0|
